ÿÿÿÿÿÿÿÿ,All races,White,Black,All races,White,Black,All races,White,Black
All ages,435.6,466.7,346.1,455.9,484,392.7,416,450,303.8
00-04,20.4,21.4,16.1,21.4,22.4,16.3,19.3,20.4,16
0,23.5,24.5,20.4,23.4,24.2,20.4,23.6,24.8,20.4
01-04,19.6,20.6,15,20.9,21.9,15.2,18.2,19.3,14.9
05-09,11.1,11.6,9,12.2,12.8,9.3,10,10.2,8.7
10-14,12.2,12.6,10.6,12.6,12.9,10.9,11.7,12.2,10.3
15-19,20.6,22,14.4,21.1,22.8,14.3,20,21.2,14.6
20-24,34.3,37,23.1,33.2,36.4,21.7,35.4,37.7,24.5
25-29,55.6,59.3,41.2,50,53.7,36.4,61.2,65.2,45.6
30-34,85.5,89,75.7,70.8,74.9,59.2,100.3,103.6,90.1
35-39,133.1,135.8,128.2,100.3,103.3,97.2,165.7,169,155.1
40-44,213.7,214.8,226.9,154,154.1,185.6,272.3,275.9,263
45-49,348.4,348.8,395.9,272.9,268.3,375.4,422,429.1,413.7
50-54,552.7,551.5,669,517.6,506,754.4,586.3,596,595.5
55-59,843.2,843.1,"1,044.20",902.2,884.9,"1,327.00",787.9,803.1,806.7
60-64,"1,234.20","1,246.00","1,486.60","1,440.10","1,428.60","2,007.40","1,047.10","1,077.00","1,065.90"
65-69,"1,701.30","1,726.20","1,949.60","2,139.60","2,143.60","2,758.60","1,329.10","1,367.80","1,329.00"
70-74,"2,108.90","2,147.00","2,289.30","2,779.00","2,806.40","3,334.80","1,587.30","1,631.80","1,559.80"
75-79,"2,383.60","2,427.10","2,459.10","3,217.20","3,261.00","3,582.80","1,807.20","1,853.10","1,755.70"
80-84,"2,492.90","2,530.60","2,524.20","3,420.90","3,467.60","3,707.90","1,945.40","1,983.60","1,893.10"
85+,"2,363.90","2,390.50","2,323.80","3,398.10","3,457.30","3,385.50","1,913.90","1,937.30","1,892.70"
